Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4444082,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_BTSX,2017,,,,,,,82.5 [82.5-82.6],82.52191209,82.46655713,82.57726704,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4455241,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,SEX_BTSX,2019,,,,,,,83.1 [83.1-83.2],83.13561895,83.07150575,83.19973215,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4461705,WHOSIS_000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_BTSX,2019,,,,,,,80.9 [80.9-81.0],80.90744762,80.8866653,80.99188153,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4489323,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_BTSX,2018,,,,,,,82.8 [82.7-82.8],82.77664183,82.72463897,82.82864469,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4530251,WHOSIS_000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_FMLE,2017,,,,,,,84.8 [84.8-84.9],84.80918283,84.7997003,84.87285478,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4572123,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,80.9 [80.9-81.0],80.89189476,80.87709308,80.96748063,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4599365,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_BTSX,2018,,,,,,,80.6 [80.6-80.7],80.64820055,80.59340451,80.70299659,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4613111,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,84.1 [84.0-84.1],84.05052945,83.98748966,84.11356924,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4645733,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_MLE,2015,,,,,,,73.4 [73.4-73.4],73.3650708,73.35715273,73.42451532,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4653129,WHOSIS_000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_BTSX,2021,,,,,,,72.8 [72.7-72.9],72.76430945,72.73247078,72.87200337,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4683887,WHOSIS_000001,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,82.9 [82.9-83.0],82.93321531,82.91565477,83.00833945,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
